FID,title,description,category,price,length,rating,actors
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,Documentary,0.99,86,PG,"WARREN NOLTE, OPRAH KILMER, ROCK DUKAKIS, MENA TEMPLE, JOHNNY CAGE, SANDRA PECK, CHRISTIAN GABLE, PENELOPE GUINESS, LUCILLE TRACY, MARY KEITEL"
2,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,Horror,4.99,48,G,"CHRIS DEPP, SEAN GUINESS, MINNIE ZELLWEGER, BOB FAWCETT"
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,Documentary,2.99,50,NC-17,"BOB FAWCETT, CAMERON STREEP, NICK WAHLBERG, RAY JOHANSSON, JULIANNE DENCH"
4,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,Horror,2.99,117,G,"OPRAH KILMER, FAY WINSLET, KENNETH PESCI, JODIE DEGENERES, SCARLETT DAMON"
5,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,Family,2.99,130,G,"GARY PHOENIX, DUSTIN TAUTOU, MATTHEW LEIGH, MATTHEW CARREY, THORA TEMPLE"
6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,Foreign,2.99,169,PG,"WARREN NOLTE, JAYNE NEESON, KIRSTEN PALTROW, SANDRA KILMER, REESE WEST, KENNETH HOFFMAN, MORGAN WILLIAMS"
7,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,Comedy,4.99,62,PG-13,"MICHAEL BOLGER, MENA HOPPER, JIM MOSTEL, RICHARD PENN, OPRAH KILMER"
8,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,Horror,4.99,54,R,"LUCILLE DEE, FAY KILMER, GENE WILLIS, SUSAN DAVIS"
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,Horror,2.99,114,PG-13,"ELVIS MARX, RIP CRAWFORD, MENA TEMPLE, RIP WINSLET, WARREN NOLTE, GRETA KEITEL, MERYL ALLEN, CHRISTIAN GABLE, WILLIAM HACKMAN"
10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,Sports,4.99,63,NC-17,"JADA RYDER, ROCK DUKAKIS, GRETA MALDEN, RENEE TRACY, RAY JOHANSSON, VAL BOLGER, JUDY DEAN, ALEC WAYNE"
11,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,Foreign,0.99,126,G,"MICHAEL BENING, JOHNNY CAGE, SCARLETT DAMON, SEAN GUINESS"
12,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,Music,0.99,136,PG,"SYLVESTER DERN, ALBERT JOHANSSON, GENE MCKELLEN, JEFF SILVERSTONE, SIDNEY CROWE, VAL BOLGER, BURT POSEY"
13,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,Horror,4.99,150,PG,"CARY MCCONAUGHEY, JON CHASE, MORGAN MCDORMAND, KENNETH TORN, CHRISTOPHER BERRY"
14,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,Classics,0.99,94,NC-17,"WOODY HOFFMAN, MORGAN WILLIAMS, MINNIE ZELLWEGER, ROCK DUKAKIS"
15,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,Foreign,2.99,46,NC-17,"HUMPHREY WILLIS, MENA HOPPER, RENEE TRACY, SIDNEY CROWE, KENNETH PALTROW, BURT DUKAKIS"
16,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,Foreign,2.99,180,NC-17,"JOHN SUVARI, GREGORY GOODING, ALBERT JOHANSSON, JUDE CRUISE, KARL BERRY"
17,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,Music,0.99,82,R,"UMA WOOD, KARL BERRY, ED CHASE, RENEE BALL, LAURENCE BULLOCK, CHRIS DEPP, SPENCER DEPP, WOODY JOLIE"
18,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,Animation,0.99,57,PG-13,"JADA RYDER, REESE KILMER, OPRAH KILMER, ANGELA WITHERSPOON"
19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,Action,0.99,113,PG,"JOHNNY LOLLOBRIGIDA, JULIA MCQUEEN, VAL BOLGER, KIRK JOVOVICH, JAMES PITT, PENELOPE CRONYN"
20,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,Music,4.99,79,R,"CARMEN HUNT, WALTER TORN, ED MANSFIELD, IAN TANDY, LAURA BRODY, EWAN GOODING"
21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,Action,4.99,129,R,"KEVIN BLOOM, RIP CRAWFORD, SIDNEY CROWE, WARREN JACKMAN, FRANCES TOMEI"
22,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,New,2.99,85,G,"DARYL WAHLBERG, CARY MCCONAUGHEY, SALMA NOLTE, SCARLETT BENING"
23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,Animation,0.99,92,R,"ELVIS MARX, HUMPHREY WILLIS, JAYNE NOLTE, PENELOPE GUINESS, JENNIFER DAVIS"
24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,Horror,2.99,181,R,"TOM MCKELLEN, TOM MIRANDA, JESSICA BAILEY, ED GUINESS, GRETA MALDEN"
25,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,New,2.99,74,G,"NICK DEGENERES, JULIA BARRYMORE, GRACE MOSTEL, JENNIFER DAVIS, PENELOPE GUINESS, CHRISTOPHER BERRY, ED MANSFIELD, LAURENCE BULLOCK, RENEE BALL"
26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,Sci-Fi,0.99,86,G,"ADAM GRANT, CATE MCQUEEN, GRETA KEITEL"
27,ANONYMOUS HUMAN,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,Sports,0.99,179,NC-17,"SUSAN DAVIS, JIM MOSTEL, FAY KILMER, GRACE MOSTEL, EMILY DEE, MERYL GIBSON, MENA HOPPER, ED GUINESS, WHOOPI HURT"
28,ANTHEM LUKE,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,Comedy,4.99,91,PG-13,"OPRAH KILMER, MILLA KEITEL"
